product_id,sku_name,brand,aisle,price_kes
33333333-3333-3333-3333-333333333001,"Fresh Milk 500ml","Brookside","Dairy",
33333333-3333-3333-3333-333333333018,"Fresh Milk 1L","Brookside","Dairy",
33333333-3333-3333-3333-333333333015,"Yoghurt 500ml","Fresha","Dairy",
33333333-3333-3333-3333-333333333016,"Butter 500g","Brookside","Dairy",
33333333-3333-3333-3333-333333333060,"UHT Milk 1L","Brookside","Dairy",
33333333-3333-3333-3333-333333333002,"White Bread 400g","Super Loaf","Bakery",
33333333-3333-3333-3333-333333333003,"Basmati Rice 2kg","Pishori","Staples",
33333333-3333-3333-3333-333333333004,"Sugar 1kg","Mumias","Staples",
33333333-3333-3333-3333-333333333006,"Cooking Oil 2L","Rina","Staples",
33333333-3333-3333-3333-333333333008,"Maize Flour 2kg","Jogoo","Staples",
33333333-3333-3333-3333-333333333011,"Wheat Flour 2kg","Exe","Staples",
33333333-3333-3333-3333-333333333012,"Spaghetti 500g","Indomie","Staples",
33333333-3333-3333-3333-333333333038,"Instant Noodles 5-pack","Indomie","Staples",
33333333-3333-3333-3333-333333333024,"Table Salt 1kg","Kensalt","Staples",
33333333-3333-3333-3333-333333333022,"Red Beans 1kg","Wairimu","Staples",
33333333-3333-3333-3333-333333333023,"Green Grams 1kg","Ndengu","Staples",
33333333-3333-3333-3333-333333333025,"Margarine 500g","Blue Band","Staples",
33333333-3333-3333-3333-333333333039,"Peanut Butter 400g","Tropical Heat","Staples",
33333333-3333-3333-3333-333333333007,"Eggs Tray 30","Kienyeji","Protein",
33333333-3333-3333-3333-333333333045,"Chicken Pieces 1kg","Farmers Choice","Protein",
33333333-3333-3333-3333-333333333009,"Tea Leaves 500g","Kericho Gold","Beverages",
33333333-3333-3333-3333-333333333042,"Tomatoes 1kg","Local","Produce",
33333333-3333-3333-3333-333333333043,"Onions 1kg","Local","Produce",
33333333-3333-3333-3333-333333333041,"Bananas 1kg","Local","Produce",
33333333-3333-3333-3333-333333333049,"Sukuma Wiki Bunch","Local","Produce",
33333333-3333-3333-3333-333333333044,"Potatoes 2kg","Local","Produce",
33333333-3333-3333-3333-333333333005,"Bar Soap 800g","Geisha","Household",
33333333-3333-3333-3333-333333333030,"Laundry Detergent 1kg","Omo","Household",
33333333-3333-3333-3333-333333333014,"Tissue Paper 10 pack","Rosy","Household",
33333333-3333-3333-3333-333333333032,"Toothpaste 100ml","Colgate","Personal care",
